SubCluster,Total_Received_BTC,Total_Tx
-1,27085.760151392944,25520.636604697043
0,0.012335278552212193,0.0
1,0.01750167032370764,6.436747718753549
2,0.012982031726226553,0.0
3,0.006410730833007604,0.0
4,0.013470636710811147,1.6560939160637944
5,0.018381125856458895,7.1940861745273015
6,0.014800509767214101,0.0
7,0.010812912972046809,5.194014898480187
8,0.013762237181948278,0.0
9,0.014820655568959716,0.0
10,0.01446826301598178,2.5390883594254294
11,0.01594846458188988,2.544674725407569
12,0.003373417962309453,0.0
13,0.04765731294730674,0.0
14,0.10045480665487354,0.0
15,0.013601752242150378,1.775400457256258
16,0.007940695138608702,1.0690449676496927
17,0.011848453673722335,5.651509571748122
18,0.014984155235155602,3.2834124172039845
19,0.004841252370751427,0.0
20,0.012525373577454906,5.341166653877203
21,0.006763759926443991,0.0
22,0.010391360099862969,0.0
23,0.018106983205009825,1.685018016012221
24,0.013034764560409622,1.8468119248354193
25,0.013740575159823477,0.5
26,0.015103989186766687,6.917456738532493
27,0.008989567960169037,0.0
28,0.1092467638149162,0.0
29,0.014530727047477562,0.0
30,0.0038207304816314613,0.0
31,0.014669815884698616,1.0954451150103308
32,0.014413340088232751,0.0
33,0.033638321337671834,0.0
34,0.00879665847797504,0.0
35,0.008325466883944501,0.0
36,0.008667344217465369,0.0
37,0.01695230755904124,0.46291004988627393
38,0.007049112525617982,0.0
39,0.011424021784234625,0.0
40,0.10003237745943547,0.0
41,0.010464755369914692,0.9574271077563388
42,0.043787329969263426,0.0
43,0.010533336020621535,2.8199966227605504
44,0.003773526941852995,0.0
45,0.015470362449120112,0.0
46,0.012821761398321987,0.8164965809277229
47,0.016803078935921912,2.6671401094873866
48,0.3086689505412589,0.0
49,0.007749846142171147,0.0
50,5.630275304247423e-08,5.630275304103716
51,0.9947099173532342,0.0
52,0.0076591853041038495,0.0
53,0.010085050886641802,2.659215781283752
54,11.49129064850025,0.0
55,0.005018251757182973,0.0
56,0.01301369258484745,0.0
57,0.011367302986972328,0.0
58,0.08377459696738539,0.0
59,0.2877706550585593,0.0
60,0.18504602490405644,0.0
61,0.01257325435536262,2.8115408417381906
62,0.01835870966501514,0.0
63,0.005385818511324915,0.0
64,0.3423299914401653,0.5477225575051635
65,0.013075922570268933,4.898979485566344
66,0.01481220416595383,0.0
