Entity_ID,Tx_Count,Address_Count,Total_Received,Total_Sent,Balance
Cluster_55,2,8,0.1,10.011029470000002,-9.911029470000003
Cluster_553,2,1,27970.5939765,27970.5939765,0.0
Cluster_526,2,1,2.21316523,2.21316523,0.0
Cluster_53,2,2,18.3395,18.439500000000002,-0.10000000000000142
Cluster_52,2,2,18.3355,18.4355,-0.10000000000000142
Cluster_48,2,2,18.332,18.432000000000002,-0.10000000000000142
Cluster_465,2,1,11.50914,11.50914,0.0
Cluster_469,2,1,0.00016,0.0,0.00016
Cluster_47,2,2,18.327,18.427000000000003,-0.10000000000000142
Cluster_471,2,1,0.00048000000000000007,0.0,0.00048000000000000007
Cluster_472,2,1,11.50784,11.50784,0.0
Cluster_475,2,1,0.00016,0.0,0.00016
Cluster_476,2,1,11.50622,11.50622,0.0
Cluster_46,2,2,18.3365,18.436500000000002,-0.10000000000000142
Cluster_208,2,1,0.002,1.0,-0.998
Cluster_214,2,1,1.08157792,1.6025784,-0.5210004800000001
Cluster_19,2,8,0.0,3.1305199999999997,-3.1305199999999997
Cluster_191,2,1,61.97264239,61.97264239,0.0
Cluster_419,2,1,0.002,0.0,0.002
Cluster_42,2,5,8e-05,0.16410448,-0.16402448
Cluster_421,2,1,0.00039999999999999996,0.0,0.00039999999999999996
Cluster_115,2,1,28238.0411435,28238.0411435,0.0
Cluster_406,2,1,3.7839,3.7839,0.0
Cluster_407,2,1,0.0006,0.0,0.0006
Cluster_408,2,1,3.7831,3.7831,0.0
Cluster_41,2,5,0.1504,14.849039999999999,-14.69864
Cluster_413,2,1,0.00048000000000000007,0.0,0.00048000000000000007
Cluster_414,2,1,11.51164,11.51164,0.0
Cluster_398,2,1,3.7856,3.7856,0.0
Cluster_400,2,1,0.00034,0.0,0.00034
Cluster_401,2,1,0.0002,0.0,0.0002
Cluster_216,2,1,0.00175,1.4935,-1.4917500000000001
Cluster_217,2,1,0.007,1.87822,-1.87122
Cluster_218,2,1,0.00075,1.27155,-1.2708
Cluster_219,2,1,0.00025,0.17015,-0.1699
Cluster_221,2,1,1.66295,1.27155,0.39139999999999997
Cluster_222,2,1,0.00425,1.66295,-1.6586999999999998
Cluster_228,2,2,12.557,6.5585,5.9985
Cluster_23,2,2,18.336,18.436,-0.10000000000000142
Cluster_378,2,1,27.86217311,27.86217311,0.0
Cluster_38,2,2,18.3345,18.4345,-0.10000000000000142
Cluster_380,2,1,27.70394826,27.70394826,0.0
Cluster_382,2,1,26.61925566,26.61925566,0.0
Cluster_384,2,1,26.07638427,26.07638427,0.0
Cluster_386,2,1,25.96915353,25.96915353,0.0
Cluster_388,2,1,25.86161384,25.86161384,0.0
Cluster_362,2,1,1e-08,0.06142949,-0.06142948
Cluster_155,2,1,0.007,12.6485,-12.6415
Cluster_13,2,2,18.331,18.431,-0.10000000000000142
Cluster_233,2,1,0.07975392,0.09295457,-0.013200649999999994
Cluster_235,2,1,0.05300261,0.06637826,-0.013375649999999996
Cluster_24,2,2,18.334,18.434,-0.10000000000000142
Cluster_240,2,1,0.0595,0.0305,0.028999999999999998
Cluster_367,2,1,60.05175401,60.05175401,0.0
Cluster_369,2,1,29.69002182,29.69002182,0.0
Cluster_37,2,11,0.0,8.823228779999999,-8.823228779999999
Cluster_371,2,1,28.68774694,28.68774694,0.0
Cluster_373,2,1,28.53640203,28.53640203,0.0
Cluster_375,2,1,27.96944092,27.96944092,0.0
Cluster_347,2,1,60.50821616,60.50821616,0.0
Cluster_349,2,1,60.15590641,60.15590641,0.0
Cluster_35,2,2,18.3375,18.4375,-0.10000000000000142
Cluster_231,2,1,0.03962696,0.06637826,-0.026751299999999992
Cluster_354,2,1,1e-08,8.45435255,-8.454352539999999
Cluster_356,2,1,1e-08,6.42088303,-6.42088302
Cluster_358,2,1,1e-08,0.09268856,-0.09268855000000001
Cluster_36,2,2,18.3265,18.4265,-0.10000000000000142
Cluster_360,2,1,1e-08,0.08103999,-0.08103998000000001
Cluster_334,2,1,0.36558635,0.36558635,0.0
Cluster_341,2,1,21.72626072,21.72626072,0.0
Cluster_343,2,1,0.01953848,0.02529824,-0.005759759999999999
Cluster_345,2,1,60.82425452,60.82425452,0.0
Cluster_321,2,2,0.0671505,0.033838,0.0333125
Cluster_322,2,1,2.06708635,2.06708635,0.0
Cluster_324,2,1,1.56658635,1.56658635,0.0
Cluster_326,2,1,2.7975,2.7975,0.0
Cluster_328,2,1,0.56608635,0.56608635,0.0
Cluster_33,2,4,0.1006213,15.11434865,-15.01372735
Cluster_330,2,1,2.297,2.297,0.0
Cluster_304,2,1,27971.2125335,27971.2125335,0.0
Cluster_307,2,1,22.759577,22.759577,0.0
Cluster_309,2,1,4.7995,4.7995,0.0
Cluster_248,2,1,1.093389,1.093389,0.0
Cluster_25,2,2,18.328,18.428,-0.10000000000000142
Cluster_31,2,2,0.03,0.07,-0.04000000000000001
Cluster_311,2,1,4.299,4.299,0.0
Cluster_313,2,1,3.7985,3.7985,0.0
Cluster_315,2,1,3.298,3.298,0.0
Cluster_291,2,1,0.0343635,0.0343635,0.0
Cluster_292,2,1,28039.0823635,28039.0823635,0.0
Cluster_294,2,1,2.76808635,2.76808635,0.0
Cluster_296,2,1,28032.2022335,28032.2022335,0.0
Cluster_298,2,1,2.26758635,2.26758635,0.0
Cluster_30,2,2,18.3285,18.4285,-0.10000000000000142
Cluster_300,2,1,28017.7235335,28017.7235335,0.0
Cluster_302,2,1,27996.7230335,27996.7230335,0.0
Cluster_277,2,1,3.46908635,3.46908635,0.0
Cluster_283,2,2,2.9479755,1.4742505,1.4737250000000002
Cluster_286,2,1,0.034889,0.034889,0.0
Cluster_287,2,1,28237.5928635,28237.5928635,0.0
Cluster_289,2,1,2.96858635,2.96858635,0.0
Cluster_26,2,2,1.0,1.01000431,-0.010004310000000016
Cluster_82,2,2,18.335,18.435000000000002,-0.10000000000000142
Cluster_109,2,1,9458.15591855,9458.15591855,0.0
